sector,indicator,country,year,variable,value,unit,label
Industry Cement,Cement activity: production per capita,BR,2020,projected_current_policy_min,0.33333794142172696,t product / cap,
Industry Cement,Cement activity: production per capita,BR,2030,projected_current_policy_min,0.463563775711384,t product / cap,
Industry Cement,Cement activity: production per capita,BR,2050,projected_current_policy_min,0.549795574883439,t product / cap,
Industry Cement,Cement activity: production per capita,BR,2015,projected_current_policy_max,0.347124107221156,t product / cap,
Industry Cement,Cement activity: production per capita,BR,2020,projected_current_policy_max,0.338651414810355,t product / cap,
Industry Cement,Cement activity: production per capita,BR,2030,projected_current_policy_max,0.474109590879205,t product / cap,
Industry Cement,Cement activity: production per capita,BR,2050,projected_current_policy_max,0.579397338310548,t product / cap,
Industry Cement,Cement emissions intensity,BR,2015,projected_current_policy_min,532.350877192982,kg CO2 / t product,
Industry Cement,Cement emissions intensity,BR,2020,projected_current_policy_min,581.305555555556,kg CO2 / t product,
Industry Cement,Cement emissions intensity,BR,2030,projected_current_policy_min,465.11320754717,kg CO2 / t product,
Industry Cement,Cement emissions intensity,BR,2050,projected_current_policy_min,497.87786259542,kg CO2 / t product,
Industry Cement,Cement emissions intensity,BR,2015,projected_current_policy_max,532.350877192982,kg CO2 / t product,
Industry Cement,Cement emissions intensity,BR,2020,projected_current_policy_max,581.305555555556,kg CO2 / t product,
Industry Cement,Cement emissions intensity,BR,2030,projected_current_policy_max,465.11320754717,kg CO2 / t product,
Industry Cement,Cement emissions intensity,BR,2050,projected_current_policy_max,497.87786259542,kg CO2 / t product,
Industry Steel,Steel Activity: production per capita,BR,2015,projected_current_policy_min,0.187637545537708,t product / cap,
Industry Steel,Steel Activity: production per capita,BR,2020,projected_current_policy_min,0.194447132496008,t product / cap,
Industry Steel,Steel Activity: production per capita,BR,2030,projected_current_policy_min,0.271141076359489,t product / cap,
Industry Steel,Steel Activity: production per capita,BR,2050,projected_current_policy_min,0.33994993561495096,t product / cap,
Industry Steel,Steel Activity: production per capita,BR,2015,projected_current_policy_max,0.190004774478948,t product / cap,
Industry Steel,Steel Activity: production per capita,BR,2020,projected_current_policy_max,0.197546658639374,t product / cap,
Industry Steel,Steel Activity: production per capita,BR,2030,projected_current_policy_max,0.27730938334444105,t product / cap,
Industry Steel,Steel Activity: production per capita,BR,2050,projected_current_policy_max,0.358253316054614,t product / cap,
Electricity,Electricity activity (per capita),BR,2020,projected_current_policy_min,2815.020396531961,kWh / cap,
Electricity,Electricity activity (per capita),BR,2025,projected_current_policy_min,2839.8287044864,kWh / cap,
Electricity,Electricity activity (per capita),BR,2030,projected_current_policy_min,2879.3126885089205,kWh / cap,
Electricity,Electricity activity (per capita),BR,2050,projected_current_policy_min,3243.7519226844397,kWh / cap,
Electricity,Electricity activity (per capita),BR,2015,projected_current_policy_max,2085.54091150894,kWh / cap,
Electricity,Electricity activity (per capita),BR,2020,projected_current_policy_max,3244.5617928773804,kWh / cap,
Electricity,Electricity activity (per capita),BR,2025,projected_current_policy_max,4341.97172819725,kWh / cap,
Electricity,Electricity activity (per capita),BR,2030,projected_current_policy_max,4831.096178196121,kWh / cap,
Electricity,Electricity emissions intensity,BR,2015,projected_current_policy_min,210.185363073806,gCO2 / kWh,
Electricity,Electricity emissions intensity,BR,2020,projected_current_policy_min,109.05178704062,gCO2 / kWh,
Electricity,Electricity emissions intensity,BR,2025,projected_current_policy_min,63.7710754279218,gCO2 / kWh,
Electricity,Electricity emissions intensity,BR,2030,projected_current_policy_min,60.2787654101091,gCO2 / kWh,
Electricity,Electricity emissions intensity,BR,2025,projected_current_policy_max,78.0146380097108,gCO2 / kWh,
Electricity,Electricity emissions intensity,BR,2030,projected_current_policy_max,80.8028031889768,gCO2 / kWh,
Electricity,Share of renewable electricity generation,BR,2020,projected_current_policy_min,80.94175344880901,% renewables,
Electricity,Share of renewable electricity generation,BR,2030,projected_current_policy_min,75.16680766654571,% renewables,
Electricity,Share of renewable electricity generation,BR,2050,projected_current_policy_min,66.10216201529329,% renewables,
Electricity,Share of renewable electricity generation,BR,2015,projected_current_policy_max,74.0165364327962,% renewables,
Electricity,Share of renewable electricity generation,BR,2020,projected_current_policy_max,79.17672279795511,% renewables,
Electricity,Share of renewable electricity generation,BR,2025,projected_current_policy_max,83.28620219477652,% renewables,
Electricity,Share of renewable electricity generation,BR,2030,projected_current_policy_max,83.1225309719438,% renewables,
Electricity,Renewable energy generation (index),BR,2020,projected_current_policy_min,2.3435952380952405,1990 value normalised to 1,
Electricity,Renewable energy generation (index),BR,2025,projected_current_policy_min,2.35011428571429,1990 value normalised to 1,
Electricity,Renewable energy generation (index),BR,2030,projected_current_policy_min,2.3566333333333302,1990 value normalised to 1,
Electricity,Renewable energy generation (index),BR,2050,projected_current_policy_min,2.43284285714286,1990 value normalised to 1,
Electricity,Renewable energy generation (index),BR,2015,projected_current_policy_max,2.04871428571429,1990 value normalised to 1,
Electricity,Renewable energy generation (index),BR,2020,projected_current_policy_max,2.47170952380952,1990 value normalised to 1,
Electricity,Renewable energy generation (index),BR,2025,projected_current_policy_max,2.89470476190476,1990 value normalised to 1,
Electricity,Renewable energy generation (index),BR,2030,projected_current_policy_max,3.2994776190476203,1990 value normalised to 1,
Transport Road,Modal split: share of private passenger transport,BR,2015,projected_current_policy_min,68.9732234808732,% private cars and motorcycles,
Transport Road,Modal split: share of private passenger transport,BR,2020,projected_current_policy_min,71.233948911931,% private cars and motorcycles,
Transport Road,Modal split: share of private passenger transport,BR,2025,projected_current_policy_min,73.4563155067259,% private cars and motorcycles,
Transport Road,Modal split: share of private passenger transport,BR,2030,projected_current_policy_min,73.3787831926608,% private cars and motorcycles,
Transport Road,Modal split: share of private passenger transport,BR,2050,projected_current_policy_min,73.57993418058041,% private cars and motorcycles,
Transport Road,Modal split: share of private passenger transport,BR,2015,projected_current_policy_max,68.9732234808732,% private cars and motorcycles,
Transport Road,Modal split: share of private passenger transport,BR,2020,projected_current_policy_max,71.233948911931,% private cars and motorcycles,
Transport Road,Modal split: share of private passenger transport,BR,2025,projected_current_policy_max,73.4563155067259,% private cars and motorcycles,
Transport Road,Modal split: share of private passenger transport,BR,2030,projected_current_policy_max,73.3787831926608,% private cars and motorcycles,
Transport Road,Modal split: share of private passenger transport,BR,2050,projected_current_policy_max,73.57993418058041,% private cars and motorcycles,
Transport Road,Road transport emissions intensity,BR,2015,projected_current_policy_min,0.112676111929678,kg CO2 / vkm,
Transport Road,Road transport emissions intensity,BR,2020,projected_current_policy_min,0.108674210406517,kg CO2 / vkm,
Transport Road,Road transport emissions intensity,BR,2025,projected_current_policy_min,0.10328777184838997,kg CO2 / vkm,
Transport Road,Road transport emissions intensity,BR,2030,projected_current_policy_min,0.10042618043858198,kg CO2 / vkm,
Transport Road,Road transport emissions intensity,BR,2050,projected_current_policy_min,0.0975149116771,kg CO2 / vkm,
Transport Road,Road transport emissions intensity,BR,2015,projected_current_policy_max,0.112676111929678,kg CO2 / vkm,
Transport Road,Road transport emissions intensity,BR,2020,projected_current_policy_max,0.108674210406517,kg CO2 / vkm,
Transport Road,Road transport emissions intensity,BR,2025,projected_current_policy_max,0.10328777184838997,kg CO2 / vkm,
Transport Road,Road transport emissions intensity,BR,2030,projected_current_policy_max,0.10042618043858198,kg CO2 / vkm,
Transport Road,Road transport emissions intensity,BR,2050,projected_current_policy_max,0.0975149116771,kg CO2 / vkm,
Transport Road,Road transport biofuel/electrification share,BR,2015,projected_current_policy_min,18.6874748585924,% biofuels/elec.,
Transport Road,Road transport biofuel/electrification share,BR,2020,projected_current_policy_min,20.3726823814404,% biofuels/elec.,
Transport Road,Road transport biofuel/electrification share,BR,2025,projected_current_policy_min,20.5318466228141,% biofuels/elec.,
Transport Road,Road transport biofuel/electrification share,BR,2030,projected_current_policy_min,20.6521586027185,% biofuels/elec.,
Transport Road,Road transport biofuel/electrification share,BR,2050,projected_current_policy_min,20.782250088637603,% biofuels/elec.,
Transport Road,Road transport biofuel/electrification share,BR,2015,projected_current_policy_max,18.6874748585924,% biofuels/elec.,
Transport Road,Road transport biofuel/electrification share,BR,2020,projected_current_policy_max,20.3726823814404,% biofuels/elec.,
Transport Road,Road transport biofuel/electrification share,BR,2025,projected_current_policy_max,20.5318466228141,% biofuels/elec.,
Transport Road,Road transport biofuel/electrification share,BR,2030,projected_current_policy_max,20.6521586027185,% biofuels/elec.,
Transport Road,Road transport biofuel/electrification share,BR,2050,projected_current_policy_max,20.782250088637603,% biofuels/elec.,
Transport Road,EVs per capita,BR,2015,projected_current_policy_min,0.00288673146981089,EVs / 1000 cap,
Transport Road,EVs per capita,BR,2020,projected_current_policy_min,0.0296763361737953,EVs / 1000 cap,
Transport Road,EVs per capita,BR,2025,projected_current_policy_min,0.8583871879729499,EVs / 1000 cap,
Transport Road,EVs per capita,BR,2030,projected_current_policy_min,8.71587363200749,EVs / 1000 cap,
Transport Road,EVs per capita,BR,2050,projected_current_policy_min,49.5235708673633,EVs / 1000 cap,
Transport Road,EVs per capita,BR,2015,projected_current_policy_max,0.0577346293962178,EVs / 1000 cap,
Transport Road,EVs per capita,BR,2020,projected_current_policy_max,0.10118843587347,EVs / 1000 cap,
Transport Road,EVs per capita,BR,2025,projected_current_policy_max,4.01478092508136,EVs / 1000 cap,
Transport Road,EVs per capita,BR,2030,projected_current_policy_max,15.1248614933757,EVs / 1000 cap,
Transport Road,EVs per capita,BR,2050,projected_current_policy_max,270.281183377813,EVs / 1000 cap,
Buildings,Buildings activity (residential),BR,2015,projected_current_policy_min,20.9728395061728,m² / cap,
Buildings,Buildings activity (residential),BR,2020,projected_current_policy_min,23.714285714285694,m² / cap,
Buildings,Buildings activity (residential),BR,2025,projected_current_policy_min,25.4837209302326,m² / cap,
Buildings,Buildings activity (residential),BR,2030,projected_current_policy_min,27.1727272727273,m² / cap,
Buildings,Buildings activity (residential),BR,2050,projected_current_policy_min,30.264573991031398,m² / cap,
Buildings,Buildings activity (residential),BR,2015,projected_current_policy_max,20.9728395061728,m² / cap,
Buildings,Buildings activity (residential),BR,2020,projected_current_policy_max,23.714285714285694,m² / cap,
Buildings,Buildings activity (residential),BR,2025,projected_current_policy_max,25.4837209302326,m² / cap,
Buildings,Buildings activity (residential),BR,2030,projected_current_policy_max,27.1727272727273,m² / cap,
Buildings,Buildings activity (residential),BR,2050,projected_current_policy_max,30.264573991031398,m² / cap,
Buildings,Buildings activity (commercial),BR,2015,projected_current_policy_min,2.0296296296296297,m² / cap,
Buildings,Buildings activity (commercial),BR,2020,projected_current_policy_min,2.06190476190476,m² / cap,
Buildings,Buildings activity (commercial),BR,2025,projected_current_policy_min,2.11162790697674,m² / cap,
Buildings,Buildings activity (commercial),BR,2030,projected_current_policy_min,2.15909090909091,m² / cap,
Buildings,Buildings activity (commercial),BR,2050,projected_current_policy_min,2.60538116591928,m² / cap,
Buildings,Buildings activity (commercial),BR,2015,projected_current_policy_max,2.0296296296296297,m² / cap,
Buildings,Buildings activity (commercial),BR,2020,projected_current_policy_max,2.06190476190476,m² / cap,
Buildings,Buildings activity (commercial),BR,2025,projected_current_policy_max,2.11162790697674,m² / cap,
Buildings,Buildings activity (commercial),BR,2030,projected_current_policy_max,2.15909090909091,m² / cap,
Buildings,Buildings activity (commercial),BR,2050,projected_current_policy_max,2.60538116591928,m² / cap,
Buildings,Buildings emissions intensity (per capita),BR,2025,projected_current_policy_min,0.10090758479305803,t CO2 / cap,
Buildings,Buildings emissions intensity (per capita),BR,2030,projected_current_policy_min,0.0881351684927651,t CO2 / cap,
Buildings,Buildings emissions intensity (per capita),BR,2025,projected_current_policy_max,0.10090758479305803,t CO2 / cap,
Buildings,Buildings emissions intensity (per capita),BR,2030,projected_current_policy_max,0.0881351684927651,t CO2 / cap,
Forestry,Forest land area index,BR,2015,projected_current_policy_min,0.903770160679457,ha of forest (indexed to 1990),
Forestry,Forest land area index,BR,2020,projected_current_policy_min,0.903770167816566,ha of forest (indexed to 1990),
Forestry,Forest land area index,BR,2025,projected_current_policy_min,0.901810972367916,ha of forest (indexed to 1990),
Forestry,Forest land area index,BR,2030,projected_current_policy_min,0.888868157885141,ha of forest (indexed to 1990),
Forestry,Forest land area index,BR,2050,projected_current_policy_min,0.865202252061896,ha of forest (indexed to 1990),
Forestry,Forest land area index,BR,2015,projected_current_policy_max,0.903770160679457,ha of forest (indexed to 1990),
Forestry,Forest land area index,BR,2020,projected_current_policy_max,0.903770167816566,ha of forest (indexed to 1990),
Forestry,Forest land area index,BR,2025,projected_current_policy_max,0.901810972367916,ha of forest (indexed to 1990),
Forestry,Forest land area index,BR,2030,projected_current_policy_max,0.888868157885141,ha of forest (indexed to 1990),
Forestry,Forest land area index,BR,2050,projected_current_policy_max,0.865202252061896,ha of forest (indexed to 1990),
Agriculture,Agriculture activity (meat): consumption,BR,2020,projected_current_policy_min,496.95,meat kcal / cap / day,
Agriculture,Agriculture activity (meat): consumption,BR,2025,projected_current_policy_min,505.21,meat kcal / cap / day,
Agriculture,Agriculture activity (meat): consumption,BR,2020,projected_current_policy_max,496.95,meat kcal / cap / day,
Agriculture,Agriculture activity (meat): consumption,BR,2025,projected_current_policy_max,505.21,meat kcal / cap / day,
Agriculture,Agriculture activity (total): consumption,BR,2015,projected_current_policy_min,2990.0,kcal / cap / day,
Agriculture,Agriculture activity (total): consumption,BR,2020,projected_current_policy_min,2954.3333333333308,kcal / cap / day,
Agriculture,Agriculture activity (total): consumption,BR,2025,projected_current_policy_min,2918.6666666666692,kcal / cap / day,
Agriculture,Agriculture activity (total): consumption,BR,2030,projected_current_policy_min,3090.0,kcal / cap / day,
Agriculture,Agriculture activity (total): consumption,BR,2050,projected_current_policy_min,3200.0,kcal / cap / day,
Agriculture,Agriculture activity (total): consumption,BR,2015,projected_current_policy_max,2990.0,kcal / cap / day,
Agriculture,Agriculture activity (total): consumption,BR,2020,projected_current_policy_max,2954.3333333333308,kcal / cap / day,
Agriculture,Agriculture activity (total): consumption,BR,2025,projected_current_policy_max,2918.6666666666692,kcal / cap / day,
Agriculture,Agriculture activity (total): consumption,BR,2030,projected_current_policy_max,3090.0,kcal / cap / day,
Agriculture,Agriculture activity (total): consumption,BR,2050,projected_current_policy_max,3200.0,kcal / cap / day,
Agriculture,Agriculture activity (meat): production,BR,2020,projected_current_policy_min,0.393,meat kg / cap / day,
Agriculture,Agriculture activity (meat): production,BR,2025,projected_current_policy_min,0.401,meat kg / cap / day,
Agriculture,Agriculture activity (meat): production,BR,2020,projected_current_policy_max,0.393,meat kg / cap / day,
Agriculture,Agriculture activity (meat): production,BR,2025,projected_current_policy_max,0.401,meat kg / cap / day,
Waste,Waste generation (per capita),BR,2015,projected_current_policy_min,0.36792,t waste / cap,
Waste,Waste generation (per capita),BR,2020,projected_current_policy_min,0.38909,t waste / cap,
Waste,Waste generation (per capita),BR,2025,projected_current_policy_min,0.4193850000000001,t waste / cap,
Waste,Waste generation (per capita),BR,2030,projected_current_policy_min,0.44822,t waste / cap,
Waste,Waste generation (per capita),BR,2050,projected_current_policy_min,0.5478649999999999,t waste / cap,
Waste,Waste generation (per capita),BR,2025,projected_current_policy_max,0.5278976371414961,t waste / cap,
Macro,Emissions per capita,BR,2015,projected_current_policy_min,5.0802501740583095,tCO2e / cap,
Macro,Emissions per capita,BR,2020,projected_current_policy_min,4.86786542732647,tCO2e / cap,
Macro,Emissions per capita,BR,2025,projected_current_policy_min,4.83272475279159,tCO2e / cap,
Macro,Emissions per capita,BR,2030,projected_current_policy_min,4.88976847113093,tCO2e / cap,
Macro,Emissions per capita,BR,2015,projected_current_policy_max,5.0802501740583095,tCO2e / cap,
Macro,Emissions per capita,BR,2020,projected_current_policy_max,4.8734650982326695,tCO2e / cap,
Macro,Emissions per capita,BR,2025,projected_current_policy_max,4.84040749561851,tCO2e / cap,
Macro,Emissions per capita,BR,2030,projected_current_policy_max,4.901654421852348,tCO2e / cap,
Macro,Primary energy demand per capita,BR,2015,projected_current_policy_min,60.024428099043796,GJ (primary) / cap,
Macro,Primary energy demand per capita,BR,2020,projected_current_policy_min,57.8600498616152,GJ (primary) / cap,
Macro,Primary energy demand per capita,BR,2025,projected_current_policy_min,60.2737956443183,GJ (primary) / cap,
Macro,Primary energy demand per capita,BR,2030,projected_current_policy_min,64.084630721882,GJ (primary) / cap,
Macro,Primary energy demand per capita,BR,2015,projected_current_policy_max,60.024428099043796,GJ (primary) / cap,
Macro,Primary energy demand per capita,BR,2020,projected_current_policy_max,57.8600498616152,GJ (primary) / cap,
Macro,Primary energy demand per capita,BR,2025,projected_current_policy_max,60.2737956443183,GJ (primary) / cap,
Macro,Primary energy demand per capita,BR,2030,projected_current_policy_max,64.084630721882,GJ (primary) / cap,
Macro,Final energy demand per capita,BR,2015,projected_current_policy_min,45.699403266417505,GJ (final) / cap,
Macro,Final energy demand per capita,BR,2020,projected_current_policy_min,46.3268070918795,GJ (final) / cap,
Macro,Final energy demand per capita,BR,2025,projected_current_policy_min,48.6321279497771,GJ (final) / cap,
Macro,Final energy demand per capita,BR,2030,projected_current_policy_min,51.450803522425204,GJ (final) / cap,
Macro,Final energy demand per capita,BR,2015,projected_current_policy_max,45.699403266417505,GJ (final) / cap,
Macro,Final energy demand per capita,BR,2020,projected_current_policy_max,46.3268070918795,GJ (final) / cap,
Macro,Final energy demand per capita,BR,2025,projected_current_policy_max,48.6321279497771,GJ (final) / cap,
Macro,Final energy demand per capita,BR,2030,projected_current_policy_max,51.450803522425204,GJ (final) / cap,
Macro,GDP per capita,BR,2015,projected_current_policy_min,14.800685220351,thousand USD2012 (PPP) / cap,
Macro,GDP per capita,BR,2020,projected_current_policy_min,15.037727378657598,thousand USD2012 (PPP) / cap,
Macro,GDP per capita,BR,2025,projected_current_policy_min,16.3210996544543,thousand USD2012 (PPP) / cap,
Macro,GDP per capita,BR,2030,projected_current_policy_min,18.450063826344106,thousand USD2012 (PPP) / cap,
Macro,GDP per capita,BR,2015,projected_current_policy_max,14.800685220351,thousand USD2012 (PPP) / cap,
Macro,GDP per capita,BR,2020,projected_current_policy_max,15.037727378657598,thousand USD2012 (PPP) / cap,
Macro,GDP per capita,BR,2025,projected_current_policy_max,16.3210996544543,thousand USD2012 (PPP) / cap,
Macro,GDP per capita,BR,2030,projected_current_policy_max,18.450063826344106,thousand USD2012 (PPP) / cap,
Macro,Emissions intensity of GDP,BR,2015,projected_current_policy_min,0.3432442551425209,tCO2e / thsd. USD2012 (PPP),
Macro,Emissions intensity of GDP,BR,2020,projected_current_policy_min,0.32371017938755897,tCO2e / thsd. USD2012 (PPP),
Macro,Emissions intensity of GDP,BR,2025,projected_current_policy_min,0.29610288859872697,tCO2e / thsd. USD2012 (PPP),
Macro,Emissions intensity of GDP,BR,2030,projected_current_policy_min,0.26502718457532,tCO2e / thsd. USD2012 (PPP),
Macro,Emissions intensity of GDP,BR,2015,projected_current_policy_max,0.3432442551425209,tCO2e / thsd. USD2012 (PPP),
Macro,Emissions intensity of GDP,BR,2020,projected_current_policy_max,0.324082554199603,tCO2e / thsd. USD2012 (PPP),
Macro,Emissions intensity of GDP,BR,2025,projected_current_policy_max,0.296573613181602,tCO2e / thsd. USD2012 (PPP),
Macro,Emissions intensity of GDP,BR,2030,projected_current_policy_max,0.265671407318032,tCO2e / thsd. USD2012 (PPP),
Macro,Primary energy intensity of GDP,BR,2015,projected_current_policy_min,4.05551683624146,TJ (primary) / mln. USD2012 (PPP),
Macro,Primary energy intensity of GDP,BR,2020,projected_current_policy_min,3.84765918444122,TJ (primary) / mln. USD2012 (PPP),
Macro,Primary energy intensity of GDP,BR,2025,projected_current_policy_min,3.6929984449833695,TJ (primary) / mln. USD2012 (PPP),
Macro,Primary energy intensity of GDP,BR,2030,projected_current_policy_min,3.47340970335172,TJ (primary) / mln. USD2012 (PPP),
Macro,Primary energy intensity of GDP,BR,2015,projected_current_policy_max,4.05551683624146,TJ (primary) / mln. USD2012 (PPP),
Macro,Primary energy intensity of GDP,BR,2020,projected_current_policy_max,3.84765918444122,TJ (primary) / mln. USD2012 (PPP),
Macro,Primary energy intensity of GDP,BR,2025,projected_current_policy_max,3.6929984449833695,TJ (primary) / mln. USD2012 (PPP),
Macro,Primary energy intensity of GDP,BR,2030,projected_current_policy_max,3.47340970335172,TJ (primary) / mln. USD2012 (PPP),
Macro,Final energy intensity of GDP,BR,2015,projected_current_policy_min,3.0876545636941497,TJ (final) / mln. USD2012 (PPP),
